Market_and_Exchange_Names,CFTC_Commodity_Code,Include,Short_Code
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ,90,Y,CAD
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,92,Y,CHF
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,97,Y,JPY
EURO FX - CHICAGO MERCANTILE EXCHANGE,99,Y,EURO-FX
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ,232,Y,AUD
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE ,89,Y,RUB
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ,112,Y,NZD
U.S. DOLLAR INDEX - ICE FUTURES U.S.,98,Y,DXY
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102,Y,BRL
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,90,Y,CAD
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,92,Y,CHF
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,97,Y,JPY
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232,Y,AUD
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,95,Y,MXN
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,112,Y,NZD
U.S. DOLLAR INDEX - ICE FUTURES U.S.,98,Y,DXY
BITCOIN-USD - CBOE FUTURES EXCHANGE,133,Y,BTCUSD
BITCOIN - CHICAGO MERCANTILE EXCHANGE,133,Y,BTC
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,96,Y,GBP
CHINESE RENMINBI-HK (CNH) - CHICAGO MERCANTILE EXCHANGE,82,Y,CNH
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,112,Y,NZD
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,122,Y,RND
USD INDEX - ICE FUTURES U.S.,98,Y,DXY
WHEAT-SRW - CHICAGO BOARD OF TRADE,1,Y,WHEAT-S
WHEAT-HRW - CHICAGO BOARD OF TRADE,1,Y,WHEAT-H
CORN - CHICAGO BOARD OF TRADE,2,Y,CORN
SOYBEANS - CHICAGO BOARD OF TRADE,5,Y,SOYBEAN
SOYBEAN OIL - CHICAGO BOARD OF TRADE,7,Y,SOY-OIL
NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,23,Y,NAT-GAS
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,26,Y,SOY-ML
COTTON NO. 2 - ICE FUTURES U.S.,33,Y,COTTON
ROUGH RICE - CHICAGO BOARD OF TRADE,39,Y,R-RICE
FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.,40,Y,OR-JUICE
LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,54,Y,LEAN-HOG
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,57,Y,CATTLE-L
LUMBER - CHICAGO MERCANTILE EXCHANGE,58,Y,LUMBER
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,61,Y,CATTLE-F
WTI FINANCIAL CRUDE OIL - NEW YORK MERCANTILE EXCHANGE,67,Y,CRUDE-OIL
COCOA - ICE FUTURES U.S.,73,Y,COCOA
PALLADIUM - NEW YORK MERCANTILE EXCHANGE,75,Y,PALL
PLATINUM - NEW YORK MERCANTILE EXCHANGE,76,Y,PLAT
SUGAR NO. 11 - ICE FUTURES U.S.,80,Y,SUGAR
COFFEE C - ICE FUTURES U.S.,83,Y,COFFEE
SILVER - COMMODITY EXCHANGE INC.,84,Y,SILVER
COPPER- #1 - COMMODITY EXCHANGE INC.,85,Y,COPPER
GOLD - COMMODITY EXCHANGE INC.,88,Y,GOLD
GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,111,Y,GASOLINE
ALUMINUM - COMMODITY EXCHANGE INC.,191,Y,ALUM
