"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,090741,CME ,00,090 ,  347932,  211949,   20801,   34900,   31120,  169724,    5069,   10823,   74345,    5734,   23931,    2376,      72,  323598,  313021,   24334,   34911,    8010,   -8896,    3831,   27068,     609,   -7879,   -3260,    3877,    3938,   -7932,      71,   -1068,   -1011,   10526,   13687,   -2516,   -5677,  100.0,   60.9,    6.0,   10.0,    8.9,   48.8,    1.5,    3.1,   21.4,    1.6,    6.9,    0.7,    0.0,   93.0,   90.0,    7.0,   10.0,    126,     10,      9,      8,     12,     33,     10,     10,     33,     12,     15,      4,.,     67,     91,    70.8,    28.8,    77.2,    46.7,    61.1,    24.8,    67.2,    39.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,090741,CME ,00,090 ,  339922,  220845,   16970,    7832,   30511,  177603,    8329,    6946,   70407,   13666,   23860,    3444,    1083,  313072,  299334,   26850,   40588,    -296,   -4007,    -649,    5364,   -1058,   -1119,    4255,   -3655,   -4774,   -8176,    4418,    -288,     119,   -2740,   -5268,    2444,    4972,  100.0,   65.0,    5.0,    2.3,    9.0,   52.2,    2.5,    2.0,   20.7,    4.0,    7.0,    1.0,    0.3,   92.1,   88.1,    7.9,   11.9,    127,     10,      6,      6,     10,     33,     11,     10,     36,     15,     16,      6,.,     66,     94,    62.9,    25.5,    72.8,    42.4,    62.6,    24.8,    70.7,    41.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,090741,CME ,00,090 ,  340218,  224852,   17619,    2468,   31569,  178722,    4074,   10601,   75181,   21842,   19442,    3732,     964,  315812,  304602,   24406,   35616,   20725,   11808,   -1475,    1857,   -4580,    4217,    -784,    1900,    -397,   12416,    1435,    1923,      35,   24087,   17792,   -3362,    2933,  100.0,   66.1,    5.2,    0.7,    9.3,   52.5,    1.2,    3.1,   22.1,    6.4,    5.7,    1.1,    0.3,   92.8,   89.5,    7.2,   10.5,    142,     14,      7,      4,     11,     35,      9,     12,     42,     11,     14,      7,.,     68,    100,    63.8,    25.2,    75.9,    40.7,    63.5,    25.2,    70.8,    39.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,090741,CME ,00,090 ,  319493,  213044,   19094,     611,   36149,  174505,    4858,    8701,   75578,    9426,   18007,    1809,     929,  291725,  286810,   27768,   32683,   -3702,   -4571,    3359,     -44,   -1704,    1191,      92,    1733,   -9484,    1188,   -1576,     470,      57,   -4825,   -3171,    1123,    -531,  100.0,   66.7,    6.0,    0.2,   11.3,   54.6,    1.5,    2.7,   23.7,    3.0,    5.6,    0.6,    0.3,   91.3,   89.8,    8.7,   10.2,    133,     11,      9,      4,     13,     32,      9,      9,     41,      8,     13,      5,.,     62,     94,    64.1,    26.6,    74.4,    41.0,    63.9,    26.5,    72.7,    40.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,090741,CME ,00,090 ,  323195,  217615,   15735,     655,   37853,  173314,    4766,    6968,   85062,    8238,   19583,    1339,     872,  296550,  289981,   26645,   33214,   -3654,  -10916,    2229,      77,    2982,    -440,     215,    1285,   -2268,     275,     132,    -844,     726,   -5224,     -30,    1570,   -3624,  100.0,   67.3,    4.9,    0.2,   11.7,   53.6,    1.5,    2.2,   26.3,    2.5,    6.1,    0.4,    0.3,   91.8,   89.7,    8.2,   10.3,    133,     11,      8,.,     13,     33,      9,      8,     42,     12,     15,.,.,     65,     95,    64.7,    27.4,    74.7,    40.7,    64.5,    27.4,    73.2,    40.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,090741,CME ,00,090 ,  326849,  228531,   13506,     578,   34871,  173754,    4551,    5683,   87330,    7963,   19451,    2183,     146,  301774,  290011,   25075,   36838,  -20135,  -18037,   -2144,      49,     251,  -10978,     573,     383,   -8788,     378,   -3246,    -104,     146,  -19503,  -20868,    -632,     733,  100.0,   69.9,    4.1,    0.2,   10.7,   53.2,    1.4,    1.7,   26.7,    2.4,    6.0,    0.7,    0.0,   92.3,   88.7,    7.7,   11.3,    129,     10,      7,.,     12,     32,     10,      8,     42,      9,     14,      4,.,     59,     95,    66.0,    28.3,    77.3,    41.9,    65.8,    28.3,    75.9,    41.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,090741,CME ,00,090 ,  346984,  246568,   15650,     529,   34620,  184732,    3978,    5300,   96118,    7585,   22697,    2287,       0,  321277,  310879,   25707,   36105,   15875,   17728,    2783,    -212,    1372,   11780,    -186,    -569,    6303,     419,   -1917,     719,       0,   16635,   21606,    -760,   -5731,  100.0,   71.1,    4.5,    0.2,   10.0,   53.2,    1.1,    1.5,   27.7,    2.2,    6.5,    0.7,    0.0,   92.6,   89.6,    7.4,   10.4,    143,     12,      7,.,     11,     41,      8,      7,     47,      8,     14,      4,      0,     57,    105,    66.5,    27.0,    77.3,    40.3,    66.4,    27.0,    76.5,    40.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,090741,CME ,00,090 ,  331109,  228840,   12867,     741,   33248,  172952,    4164,    5869,   89815,    7166,   24614,    1568,       0,  304642,  289273,   26467,   41836,    -526,   -2959,   -3528,      17,     -55,    6771,    -107,    2519,   -5907,     988,    -150,   -1059,       0,     253,   -2825,    -779,    2299,  100.0,   69.1,    3.9,    0.2,   10.0,   52.2,    1.3,    1.8,   27.1,    2.2,    7.4,    0.5,    0.0,   92.0,   87.4,    8.0,   12.6,    130,     11,      4,.,     11,     37,      8,     10,     40,     10,     14,.,      0,     59,     91,    65.2,    25.8,    76.4,    40.2,    65.0,    25.8,    75.4,    40.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,090741,CME ,00,090 ,  331635,  231799,   16395,     724,   33303,  166181,    4271,    3350,   95722,    6178,   24764,    2627,       0,  304389,  292098,   27246,   39537,  -18728,  -16374,    1408,     343,    3203,  -18967,    -212,   -3526,     790,    -420,   -1455,     654,       0,  -18441,  -16404,    -287,   -2324,  100.0,   69.9,    4.9,    0.2,   10.0,   50.1,    1.3,    1.0,   28.9,    1.9,    7.5,    0.8,    0.0,   91.8,   88.1,    8.2,   11.9,    137,     10,      7,.,     12,     39,      8,      7,     43,      8,     14,      5,      0,     56,    100,    64.9,    22.8,    76.1,    36.7,    64.6,    22.7,    75.5,    36.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,090741,CME ,00,090 ,  350363,  248173,   14987,     381,   30100,  185148,    4483,    6876,   94932,    6598,   26219,    1973,       0,  322830,  308502,   27533,   41861,   -6847,  -12186,    1918,     -64,    1722,   -3525,    -368,    1326,   -5197,      68,    2928,     144,       0,   -6574,   -7024,    -273,     177,  100.0,   70.8,    4.3,    0.1,    8.6,   52.8,    1.3,    2.0,   27.1,    1.9,    7.5,    0.6,    0.0,   92.1,   88.1,    7.9,   11.9,    134,     10,      7,.,     12,     39,      8,     11,     40,     11,     12,.,      0,     59,     97,    66.1,    26.6,    76.4,    40.2,    66.0,    26.5,    76.0,    40.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
