"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250311,2025-03-11,001602,CBT ,00,001 ,  437310,   65661,   64408,   82703,    7030,   15113,   79584,  155930,   88720,   41351,   43078,   30256,  403388,  404535,   33922,   32775,  229815,   35603,   22047,   24621,   16720,     371,   87602,  111998,   16762,   44279,   44330,     214,  209452,  212442,   20363,   17373,  207495,   30058,   42361,   68635,     863,    4189,   39990,   91940,   23950,   16710,   18386,   10404,  193936,  192093,   13559,   15402,    9611,    -778,    1773,   -1829,    -248,    1002,    1410,   -4890,    2072,    3158,    2689,    5714,   10749,    8112,   -1138,    1499,  100.0,   15.0,   14.7,   18.9,    1.6,    3.5,   18.2,   35.7,   20.3,    9.5,    9.9,    6.9,   92.2,   92.5,    7.8,    7.5,  100.0,   15.5,    9.6,   10.7,    7.3,    0.2,   38.1,   48.7,    7.3,   19.3,   19.3,    0.1,   91.1,   92.4,    8.9,    7.6,  100.0,   14.5,   20.4,   33.1,    0.4,    2.0,   19.3,   44.3,   11.5,    8.1,    8.9,    5.0,   93.5,   92.6,    6.5,    7.4,    377,     77,     70,     22,      8,     17,     52,     80,     62,     66,     33,     46,    280,    265,    347,     61,     41,     19,     10,.,     46,     74,     31,     70,     30,.,    212,    175,    267,     48,     65,     20,.,      8,     38,     50,     31,     34,     34,     30,    177,    187,    10.3,    13.8,    17.8,    23.4,     9.7,    11.7,    16.3,    19.1,    13.5,    21.3,    23.3,    34.3,    11.5,    21.2,    21.1,    33.6,    17.8,    17.0,    31.3,    27.8,    17.2,    16.1,    30.3,    25.7,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250304,2025-03-04,001602,CBT ,00,001 ,  427699,   66439,   62635,   84532,    7278,   14111,   78174,  160820,   86648,   38193,   40389,   24542,  392639,  396423,   35060,   31276,  237446,   37532,   22861,   30409,   15229,     197,   86908,  121135,   21053,   39089,   39242,     214,  215402,  219931,   22044,   17515,  190253,   28907,   39774,   63003,     929,    5034,   37792,   86211,   19069,   13329,   15372,   10103,  177237,  176492,   13016,   13761,   25893,    1841,  -12428,    4000,     691,    1037,    6212,   23764,    8059,     498,    5737,     437,   22084,   27297,    3809,   -1404,  100.0,   15.5,   14.6,   19.8,    1.7,    3.3,   18.3,   37.6,   20.3,    8.9,    9.4,    5.7,   91.8,   92.7,    8.2,    7.3,  100.0,   15.8,    9.6,   12.8,    6.4,    0.1,   36.6,   51.0,    8.9,   16.5,   16.5,    0.1,   90.7,   92.6,    9.3,    7.4,  100.0,   15.2,   20.9,   33.1,    0.5,    2.6,   19.9,   45.3,   10.0,    7.0,    8.1,    5.3,   93.2,   92.8,    6.8,    7.2,    370,     74,     67,     22,      8,     18,     58,     76,     65,     61,     36,     44,    281,    256,    342,     58,     42,     18,     11,.,     53,     69,     34,     62,     33,.,    210,    175,    265,     46,     63,     19,      4,      9,     43,     48,     31,     35,     28,     28,    176,    181,    11.4,    13.5,    18.5,    23.5,    10.3,    11.9,    16.8,    20.0,    12.8,    18.7,    22.2,    31.8,    10.7,    18.6,    19.2,    31.5,    18.1,    17.9,    30.5,    28.2,    17.6,    17.1,    29.3,    26.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250225,2025-02-25,001602,CBT ,00,001 ,  401806,   64598,   75063,   80532,    6587,   13074,   71962,  137056,   78589,   37695,   34652,   24105,  370555,  369126,   31251,   32680,  226236,   38544,   29541,   26386,   13802,     723,   76689,  107096,   21705,   37803,   30835,    3619,  205469,  207321,   20767,   18915,  175570,   26054,   45522,   62473,    1112,    4024,   35162,   69849,   16995,   13098,   17023,    7280,  165086,  161805,   10484,   13765,  -35611,    9188,   -4455,    3615,   -9137,  -10829,   -7637,    9613,  -12245,  -10146,   -2117,   -4821,  -32875,  -33991,   -2736,   -1620,  100.0,   16.1,   18.7,   20.0,    1.6,    3.3,   17.9,   34.1,   19.6,    9.4,    8.6,    6.0,   92.2,   91.9,    7.8,    8.1,  100.0,   17.0,   13.1,   11.7,    6.1,    0.3,   33.9,   47.3,    9.6,   16.7,   13.6,    1.6,   90.8,   91.6,    9.2,    8.4,  100.0,   14.8,   25.9,   35.6,    0.6,    2.3,   20.0,   39.8,    9.7,    7.5,    9.7,    4.1,   94.0,   92.2,    6.0,    7.8,    364,     74,     72,     22,      8,     16,     58,     72,     71,     55,     37,     50,    284,    264,    339,     66,     51,     18,     11,.,     51,     67,     36,     61,     34,     16,    222,    195,    253,     41,     66,     18,      4,      9,     42,     46,     37,     30,     32,     28,    172,    182,    11.4,    13.5,    19.6,    23.9,    10.2,    12.4,    16.8,    19.9,    12.9,    16.5,    22.8,    29.3,    11.3,    16.3,    20.6,    29.1,    19.2,    19.4,    33.3,    32.6,    18.5,    17.7,    32.1,    28.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250218,2025-02-18,001602,CBT ,00,001 ,  437417,   55410,   79518,   76917,   15724,   23903,   79599,  127443,   90834,   47841,   36769,   28926,  403430,  403117,   33987,   34300,  269764,   33910,   42356,   28952,   26556,    7165,   87604,   95712,   34523,   45415,   33883,    7894,  245463,  248089,   24301,   21675,  167653,   21500,   37162,   60021,    1224,    4682,   32131,   71867,   16175,   17239,   17699,    6219,  157967,  155028,    9686,   12625,  -11044,   -2652,    8530,   -2414,    3600,    8587,   -1845,  -28174,   -9385,   -2863,    4297,    1539,   -9033,  -11006,   -2011,     -38,  100.0,   12.7,   18.2,   17.6,    3.6,    5.5,   18.2,   29.1,   20.8,   10.9,    8.4,    6.6,   92.2,   92.2,    7.8,    7.8,  100.0,   12.6,   15.7,   10.7,    9.8,    2.7,   32.5,   35.5,   12.8,   16.8,   12.6,    2.9,   91.0,   92.0,    9.0,    8.0,  100.0,   12.8,   22.2,   35.8,    0.7,    2.8,   19.2,   42.9,    9.6,   10.3,   10.6,    3.7,   94.2,   92.5,    5.8,    7.5,    380,     70,     83,     21,     10,     20,     66,     65,     74,     60,     38,     53,    300,    274,    357,     62,     66,     17,     14,     10,     58,     61,     47,     67,     36,     26,    247,    220,    249,     41,     71,     18,      5,     10,     40,     43,     29,     31,     27,     25,    165,    179,    10.4,    12.4,    17.7,    21.3,     8.4,    10.1,    14.5,    17.4,    10.5,    14.1,    18.7,    26.1,     8.9,    13.9,    16.3,    25.0,    18.8,    19.1,    33.4,    32.6,    18.1,    16.9,    32.1,    30.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250211,2025-02-11,001602,CBT ,00,001 ,  448461,   58062,   70988,   79331,   12124,   15316,   81444,  155617,  100219,   50704,   32472,   27387,  412463,  414123,   35998,   34338,  287930,   38317,   37955,   26899,   20887,    3044,   91404,  119217,   45885,   47048,   30087,    8218,  260815,  265293,   27115,   22637,  160531,   19745,   33033,   62025,     830,    2679,   30621,   76981,   13753,   15918,   14647,    6907,  151648,  148830,    8883,   11701,  -26719,    -522,    7556,    2204,    3526,   -8133,    2487,   -5370,  -20046,   -1215,   -4772,   -1632,  -26857,  -28871,     138,    2152,  100.0,   12.9,   15.8,   17.7,    2.7,    3.4,   18.2,   34.7,   22.3,   11.3,    7.2,    6.1,   92.0,   92.3,    8.0,    7.7,  100.0,   13.3,   13.2,    9.3,    7.3,    1.1,   31.7,   41.4,   15.9,   16.3,   10.4,    2.9,   90.6,   92.1,    9.4,    7.9,  100.0,   12.3,   20.6,   38.6,    0.5,    1.7,   19.1,   48.0,    8.6,    9.9,    9.1,    4.3,   94.5,   92.7,    5.5,    7.3,    375,     71,     78,     19,     10,     19,     68,     68,     77,     65,     33,     49,    300,    268,    359,     60,     65,     18,     11,     11,     60,     68,     53,     69,     33,     25,    249,    226,    234,     40,     63,     17,      4,      9,     38,     41,     27,     29,     27,     22,    159,    162,     9.0,    13.3,    16.2,    21.5,     8.5,    10.5,    14.8,    17.9,    11.2,    12.9,    20.0,    24.3,     9.9,    12.2,    18.0,    22.6,    20.4,    19.1,    35.2,    33.1,    20.4,    19.1,    35.0,    33.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250204,2025-02-04,001602,CBT ,00,001 ,  475180,   58584,   63432,   77127,    8598,   23449,   78957,  160987,  120265,   51919,   37244,   29019,  439320,  442994,   35860,   32186,  321172,   40200,   36894,   26364,   18527,   10522,  107450,  139696,   48582,   50745,   35434,    9804,  293667,  299459,   27505,   21713,  154008,   18384,   26538,   61344,     652,    2346,   26805,   76589,   16385,   14481,   15117,    5908,  145653,  143535,    8355,   10473,  -19220,  -16193,    5681,     410,    1144,    -811,    -840,  -25201,   -2745,   -2156,   -1551,    4821,  -17514,  -18662,   -1706,    -558,  100.0,   12.3,   13.3,   16.2,    1.8,    4.9,   16.6,   33.9,   25.3,   10.9,    7.8,    6.1,   92.5,   93.2,    7.5,    6.8,  100.0,   12.5,   11.5,    8.2,    5.8,    3.3,   33.5,   43.5,   15.1,   15.8,   11.0,    3.1,   91.4,   93.2,    8.6,    6.8,  100.0,   11.9,   17.2,   39.8,    0.4,    1.5,   17.4,   49.7,   10.6,    9.4,    9.8,    3.8,   94.6,   93.2,    5.4,    6.8,    384,     76,     78,     22,      9,     20,     71,     68,     76,     67,     33,     49,    306,    273,    372,     70,     65,     18,     13,     13,     74,     61,     56,     70,     33,     22,    274,    222,    227,     34,     64,     18,.,      9,     31,     44,     26,     27,     26,     19,    140,    165,    11.0,    13.4,    18.6,    23.3,     8.6,    10.1,    14.3,    18.1,    12.8,    16.0,    21.0,    28.3,    12.5,    13.5,    19.8,    25.1,    20.8,    21.9,    35.6,    36.0,    20.8,    21.9,    35.5,    35.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250128,2025-01-28,001602,CBT ,00,001 ,  494400,   74777,   57751,   76717,    7454,   24260,   79797,  186188,  123010,   54075,   38795,   24198,  456834,  461656,   37566,   32744,  348815,   54790,   37154,   28740,   18228,   10800,  107022,  159906,   57622,   55667,   36624,    5355,  319996,  325689,   28819,   23126,  145585,   19987,   20597,   59151,     400,    2286,   23957,   77464,   14206,   12059,   15822,    5192,  136838,  135967,    8747,    9618,   22131,   11771,   -2206,    3476,      29,     889,   -4255,   12557,    5080,    -784,     506,    3636,   19813,   20491,    2318,    1640,  100.0,   15.1,   11.7,   15.5,    1.5,    4.9,   16.1,   37.7,   24.9,   10.9,    7.8,    4.9,   92.4,   93.4,    7.6,    6.6,  100.0,   15.7,   10.7,    8.2,    5.2,    3.1,   30.7,   45.8,   16.5,   16.0,   10.5,    1.5,   91.7,   93.4,    8.3,    6.6,  100.0,   13.7,   14.1,   40.6,    0.3,    1.6,   16.5,   53.2,    9.8,    8.3,   10.9,    3.6,   94.0,   93.4,    6.0,    6.6,    383,     83,     75,     22,      9,     18,     60,     75,     69,     69,     30,     48,    302,    265,    372,     77,     60,     20,     11,     11,     58,     73,     56,     75,     28,     21,    273,    218,    219,     36,     63,     19,.,      9,     26,     43,     25,     23,     29,     20,    138,    160,    12.0,    13.3,    19.6,    24.1,     9.9,    10.7,    15.9,    18.8,    14.7,    16.5,    23.2,    28.5,    14.6,    13.6,    21.8,    24.9,    20.6,    24.0,    36.0,    38.1,    20.6,    24.0,    35.9,    38.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250121,2025-01-21,001602,CBT ,00,001 ,  472269,   63006,   59957,   73241,    7425,   23371,   84052,  173631,  117930,   54859,   38289,   20562,  437021,  441165,   35248,   31104,  337315,   44267,   41915,   26754,   16546,   11497,  105590,  142983,   62009,   55020,   36559,    4419,  309556,  315928,   27759,   21387,  134954,   18739,   18042,   55846,     238,    2515,   22137,   74323,   12246,   10400,   12291,    5582,  127465,  125237,    7489,    9717,   -3292,   -3672,    6355,   -1695,   -1102,     803,   -1731,   -6121,    3059,    1870,   -2940,   -3228,   -4594,   -3174,    1302,    -118,  100.0,   13.3,   12.7,   15.5,    1.6,    4.9,   17.8,   36.8,   25.0,   11.6,    8.1,    4.4,   92.5,   93.4,    7.5,    6.6,  100.0,   13.1,   12.4,    7.9,    4.9,    3.4,   31.3,   42.4,   18.4,   16.3,   10.8,    1.3,   91.8,   93.7,    8.2,    6.3,  100.0,   13.9,   13.4,   41.4,    0.2,    1.9,   16.4,   55.1,    9.1,    7.7,    9.1,    4.1,   94.5,   92.8,    5.5,    7.2,    374,     80,     78,     24,      7,     17,     65,     69,     72,     64,     31,     46,    299,    262,    359,     70,     63,     20,     11,     10,     66,     63,     59,     67,     28,     24,    266,    216,    213,     36,     59,     19,.,      8,     30,     37,     24,     22,     27,     21,    137,    151,    10.8,    14.2,    19.1,    24.3,    10.0,    11.0,    16.4,    18.7,    13.8,    17.1,    23.4,    29.9,    12.8,    13.7,    19.8,    24.9,    21.4,    22.8,    36.8,    36.5,    21.4,    22.8,    36.4,    35.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250114,2025-01-14,001602,CBT ,00,001 ,  475561,   66678,   53602,   74936,    8527,   22568,   85783,  179752,  114871,   52989,   41229,   23790,  441615,  444339,   33946,   31222,  343556,   48610,   36811,   29323,   16870,   10703,  105805,  149300,   61076,   56349,   41315,    5369,  317235,  321444,   26321,   22112,  132005,   18068,   16791,   54194,     238,    3284,   23109,   73583,   10664,    9856,   13130,    5205,  124380,  122895,    7625,    9110,    3626,   -7005,   -1499,    5864,    -992,   -1196,   -1150,    3855,    6052,    1525,    -745,    -574,    3516,    4901,     110,   -1275,  100.0,   14.0,   11.3,   15.8,    1.8,    4.7,   18.0,   37.8,   24.2,   11.1,    8.7,    5.0,   92.9,   93.4,    7.1,    6.6,  100.0,   14.1,   10.7,    8.5,    4.9,    3.1,   30.8,   43.5,   17.8,   16.4,   12.0,    1.6,   92.3,   93.6,    7.7,    6.4,  100.0,   13.7,   12.7,   41.1,    0.2,    2.5,   17.5,   55.7,    8.1,    7.5,    9.9,    3.9,   94.2,   93.1,    5.8,    6.9,    386,     80,     76,     23,      8,     17,     56,     78,     69,     72,     32,     47,    301,    265,    373,     70,     62,     21,     10,     11,     60,     71,     56,     75,     30,     24,    267,    224,    217,     37,     59,     19,.,      8,     24,     41,     21,     23,     30,     21,    134,    155,    11.7,    14.2,    20.2,    25.1,    10.8,    11.4,    17.4,    19.2,    14.9,    17.6,    24.4,    30.6,    14.3,    14.8,    21.9,    25.9,    21.3,    24.5,    37.1,    37.1,    21.3,    24.5,    36.1,    35.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",250107,2025-01-07,001602,CBT ,00,001 ,  471935,   73683,   55101,   69072,    9519,   23764,   86933,  175897,  108819,   51464,   41974,   24364,  438099,  439438,   33836,   32497,  350718,   58814,   39308,   31324,   16526,   14772,  100288,  149792,   57043,   54066,   42348,    6946,  323253,  326735,   27465,   23983,  121217,   14869,   15793,   45034,     279,    1706,   26241,   65701,   12180,   10281,   12509,    4535,  114846,  112703,    6371,    8514,   11518,     808,   -3248,     500,    1054,     984,    6037,    4083,    2080,   -3898,    1066,    5098,   11609,   11117,     -91,     401,  100.0,   15.6,   11.7,   14.6,    2.0,    5.0,   18.4,   37.3,   23.1,   10.9,    8.9,    5.2,   92.8,   93.1,    7.2,    6.9,  100.0,   16.8,   11.2,    8.9,    4.7,    4.2,   28.6,   42.7,   16.3,   15.4,   12.1,    2.0,   92.2,   93.2,    7.8,    6.8,  100.0,   12.3,   13.0,   37.2,    0.2,    1.4,   21.6,   54.2,   10.0,    8.5,   10.3,    3.7,   94.7,   93.0,    5.3,    7.0,    398,     81,     76,     23,      8,     17,     52,     84,     71,     70,     42,     49,    302,    280,    384,     77,     65,     21,     10,     12,     55,     80,     55,     71,     39,     25,    270,    241,    215,     31,     57,     18,.,      7,     29,     36,     23,     24,     33,     20,    127,    155,    12.7,    14.3,    20.9,    24.7,    10.9,    11.3,    17.4,    19.1,    16.0,    17.0,    24.6,    29.5,    15.5,    15.8,    22.2,    26.4,    21.4,    29.2,    34.3,    41.7,    21.4,    29.1,    34.2,    41.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
